21,16/03/2009,26/09/2011,suii
86,15/04/2009,06/06/2012,util
82,25/06/2009,19/07/2011,util
83,25/06/2009,11/08/2013,suii
84,25/06/2009,19/07/2011,suii
80,07/08/2009,14/06/2010,arad
43,13/09/2009,28/09/2012,book
38,29/09/2009,10/10/2012,arad
56,11/10/2009,21/10/2013,suii
77,22/02/2010,19/01/2014,coai
26,26/03/2010,23/07/2012,util
20,22/06/2010,09/04/2014,book
75,10/07/2010,11/03/2016,arad
46,01/08/2010,06/05/2014,coai
47,01/08/2010,11/03/2012,suii
48,01/08/2010,06/05/2014,suii
65,12/09/2010,03/06/2014,book
34,10/10/2010,15/08/2012,arad
35,10/10/2010,19/07/2013,suii
36,10/10/2010,21/06/2014,suii
54,10/01/2011,12/06/2016,suii
29,20/03/2011,15/07/2016,coai
44,22/03/2011,08/10/2014,coaa
2,14/05/2011,27/12/2013,book
16,02/06/2011,21/08/2016,arad
37,21/06/2011,24/01/2014,coai
62,07/07/2011,17/04/2018,arad
63,07/07/2011,08/09/2016,book
84,19/07/2011,11/08/2013,coaa
21,26/09/2011,07/04/2014,book
31,09/10/2011,15/10/2013,book
32,09/10/2011,14/06/2013,book
33,09/10/2011,19/02/2015,suii
76,26/10/2011,02/03/2015,coaa
5,14/03/2012,23/10/2013,coai
6,14/03/2012,04/06/2015,book
50,30/04/2012,04/07/2015,suii
11,16/06/2012,23/10/2014,coaa
55,19/06/2012,27/03/2019,util
68,14/07/2012,,coai
34,15/08/2012,21/06/2014,coai
1,05/09/2012,09/04/2017,coai
3,05/09/2012,28/09/2015,arad
38,10/10/2012,22/10/2015,book
49,18/12/2012,30/05/2017,coaa
28,29/12/2012,,util
40,30/12/2012,06/04/2014,book
41,30/12/2012,23/06/2014,suii
14,28/01/2013,20/06/2017,book
15,30/01/2013,14/04/2020,coaa
64,06/03/2013,27/03/2016,suii
10,26/05/2013,22/03/2016,coaa
83,11/08/2013,27/09/2017,book
84,11/08/2013,04/09/2015,util
56,21/10/2013,31/10/2017,coaa
67,12/11/2013,11/11/2017,util
2,27/12/2013,11/08/2016,arad
37,24/01/2014,29/08/2016,book
61,06/02/2014,25/05/2015,book
40,06/04/2014,12/07/2015,coai
20,09/04/2014,25/01/2018,book
46,06/05/2014,08/02/2018,coai
48,06/05/2014,08/02/2018,coaa
18,26/05/2014,16/02/2018,book
34,21/06/2014,26/04/2016,coaa
41,23/06/2014,15/12/2015,util
39,04/08/2014,24/03/2018,coaa
11,23/10/2014,28/02/2017,book
81,06/11/2014,,coai
32,18/02/2015,24/10/2016,arad
33,19/02/2015,02/07/2018,arad
76,02/03/2015,07/07/2018,suii
17,03/05/2015,,coaa
25,09/05/2015,11/08/2018,arad
22,14/05/2015,31/08/2016,coaa
24,14/05/2015,12/06/2016,coai
74,18/05/2015,13/08/2018,book
47,31/05/2015,08/01/2017,suii
5,03/06/2015,11/01/2017,coaa
6,04/06/2015,24/08/2018,book
60,25/06/2015,,suii
86,29/07/2015,19/09/2018,arad
84,04/09/2015,27/09/2017,coaa
3,28/09/2015,20/10/2018,coaa
43,14/10/2015,29/10/2018,coaa
45,14/10/2015,29/10/2018,coai
31,22/10/2015,28/10/2017,book
38,22/10/2015,02/11/2018,book
7,08/12/2015,13/02/2017,arad
9,08/12/2015,29/11/2017,coai
78,01/01/2016,15/04/2019,arad
75,11/03/2016,,suii
10,22/03/2016,17/01/2019,book
12,22/03/2016,17/01/2019,book
23,17/04/2016,22/03/2017,suii
34,26/04/2016,02/03/2018,arad
35,27/04/2016,04/02/2019,coai
71,27/04/2016,10/01/2020,coaa
85,11/05/2016,21/03/2020,book
87,11/05/2016,,arad
24,12/06/2016,12/07/2017,coaa
29,15/07/2016,03/12/2016,coaa
2,11/08/2016,27/03/2019,coaa
16,21/08/2016,,util
37,29/08/2016,04/04/2019,arad
63,08/09/2016,27/06/2017,coaa
40,16/10/2016,21/01/2018,coaa
21,17/10/2016,29/04/2019,arad
19,19/10/2016,,coaa
32,24/10/2016,30/06/2018,coaa
88,04/11/2016,08/07/2018,util
89,04/11/2016,05/02/2018,book
90,04/11/2016,06/11/2017,arad
47,08/01/2017,19/08/2018,util
5,11/01/2017,22/08/2018,coai
7,13/02/2017,22/04/2018,arad
11,28/02/2017,07/07/2019,coaa
26,19/03/2017,17/07/2019,coaa
23,22/03/2017,24/02/2018,suii
1,09/04/2017,,coai
8,01/06/2017,24/11/2018,util
30,04/06/2017,,arad
41,07/06/2017,29/11/2018,coaa
14,20/06/2017,14/02/2020,util
66,07/07/2017,,arad
24,12/07/2017,11/08/2018,book
4,22/09/2017,18/10/2019,suii
83,27/09/2017,,coaa
27,16/10/2017,27/08/2018,coaa
56,31/10/2017,01/07/2019,book
90,06/11/2017,08/11/2018,book
9,29/11/2017,21/11/2019,suii
77,16/12/2017,,arad
22,19/12/2017,08/04/2019,util
59,12/01/2018,,suii
40,21/01/2018,28/04/2019,arad
20,25/01/2018,,coaa
13,05/02/2018,,arad
46,08/02/2018,02/04/2018,book
48,08/02/2018,,suii
18,16/02/2018,15/04/2018,arad
65,22/02/2018,12/06/2018,coai
36,02/03/2018,24/06/2018,util
39,24/03/2018,,coaa
33,02/07/2018,,coaa
76,07/07/2018,,coai
88,08/07/2018,10/03/2020,book
24,11/08/2018,10/09/2019,coaa
47,19/08/2018,29/03/2020,suii
5,22/08/2018,01/04/2020,arad
6,24/08/2018,,arad
50,06/09/2018,20/11/2019,util
86,19/09/2018,04/12/2019,coaa
3,20/10/2018,13/04/2019,util
43,29/10/2018,,book
45,29/10/2018,,suii
38,02/11/2018,21/08/2020,arad
42,29/11/2018,,util
10,17/01/2019,,util
23,29/01/2019,03/01/2020,coai
2,27/03/2019,05/06/2019,arad
37,04/04/2019,,util
21,29/04/2019,,coaa
11,07/07/2019,,coai
26,17/07/2019,,arad
24,10/09/2019,09/10/2020,arad
4,18/10/2019,,suii
82,21/10/2019,22/05/2019,coai
84,21/10/2019,08/06/2019,arad
31,04/11/2019,19/11/2020,arad
90,10/11/2019,11/11/2020,coai
9,21/11/2019,01/03/2020,coai
32,05/03/2020,,book
88,10/03/2020,10/02/2020,coai
5,01/04/2020,,coaa
8,18/05/2020,07/05/2020,arad
41,22/05/2020,02/07/2020,util
22,26/07/2020,17/02/2020,book
40,02/08/2020,12/08/2020,coai
89,09/08/2020,,util
7,04/09/2020,26/09/2020,coai
24,09/10/2020,,coaa
90,11/11/2020,,coaa
23,07/12/2020,,coai
73,30/04/2021,,suii
49,30/05/2021,,suii
58,25/06/2021,,coai
70,20/08/2021,,coaa
72,20/10/2021,,util
52,31/10/2021,,coaa
