book_id,checkout,return,member
16,03/03/2007,03/11/2010,util
61,27/04/2007,15/12/2010,book
65,27/04/2007,15/12/2010,coai
31,03/10/2007,13/04/2011,coaa
32,03/10/2007,16/06/2012,coaa
33,03/10/2007,29/07/2010,arad
34,03/10/2007,16/06/2012,arad
35,03/10/2007,29/07/2010,suii
36,03/10/2007,13/04/2011,util
37,03/10/2007,16/06/2012,coai
38,03/10/2007,29/07/2010,coaa
39,03/10/2007,08/10/2009,book
40,03/10/2007,16/06/2012,arad
11,02/02/2008,05/09/2012,util
13,02/02/2008,05/09/2012,coai
15,02/02/2008,05/09/2012,util
17,02/02/2008,05/09/2012,coaa
19,02/02/2008,05/09/2012,arad
66,24/03/2008,09/10/2012,suii
71,21/07/2008,17/03/2015,coai
73,21/07/2008,27/12/2012,coaa
51,22/07/2008,28/12/2012,util
55,22/07/2008,28/12/2012,book
59,22/07/2008,28/12/2012,util
42,07/09/2008,10/04/2015,arad
49,07/09/2008,28/01/2013,suii
12,28/09/2008,14/05/2011,suii
18,28/09/2008,14/05/2011,coai
83,04/11/2008,05/01/2011,coai
88,04/11/2008,05/01/2011,coaa
62,15/11/2008,21/06/2011,book
69,15/11/2008,21/06/2011,util
58,11/06/2009,27/08/2015,coai
20,14/08/2009,28/09/2015,util
82,17/09/2009,30/09/2012,util
85,17/09/2009,30/09/2012,util
89,17/09/2009,30/09/2012,book
63,27/09/2009,07/10/2012,arad
68,27/09/2009,07/10/2012,book
70,27/09/2009,07/10/2012,book
64,28/09/2009,20/10/2015,coai
67,28/09/2009,20/10/2015,arad
39,08/10/2009,14/10/2011,book
74,13/06/2010,01/04/2014,book
78,13/06/2010,01/04/2014,coaa
84,22/06/2010,09/04/2014,arad
87,22/06/2010,09/04/2014,suii
90,22/06/2010,09/04/2014,coai
41,27/07/2010,02/05/2014,util
44,27/07/2010,02/05/2014,arad
46,27/07/2010,02/05/2014,book
33,29/07/2010,24/05/2013,arad
35,29/07/2010,24/05/2013,book
38,29/07/2010,24/05/2013,book
1,01/08/2010,17/06/2012,book
2,01/08/2010,11/03/2012,coai
3,01/08/2010,05/05/2014,coaa
4,01/08/2010,02/11/2012,coai
5,01/08/2010,27/05/2013,arad
6,01/08/2010,11/03/2012,util
7,01/08/2010,27/05/2013,book
8,01/08/2010,05/05/2014,coai
9,01/08/2010,02/11/2012,coai
10,01/08/2010,05/05/2014,coai
14,03/11/2010,06/07/2014,suii
16,03/11/2010,06/07/2014,arad
61,15/12/2010,04/08/2014,coai
65,15/12/2010,04/08/2014,coai
83,05/01/2011,07/03/2013,suii
88,05/01/2011,07/03/2013,coai
72,20/03/2011,15/07/2016,suii
76,20/03/2011,15/07/2016,util
80,20/03/2011,15/07/2016,coaa
31,13/04/2011,22/10/2014,coai
36,13/04/2011,22/10/2014,coai
43,28/04/2011,04/08/2016,book
48,28/04/2011,04/08/2016,coaa
12,14/05/2011,27/12/2013,suii
18,14/05/2011,27/12/2013,suii
62,21/06/2011,24/01/2014,suii
69,21/06/2011,24/01/2014,coaa
52,07/07/2011,,arad
53,07/07/2011,08/09/2016,coai
54,07/07/2011,,suii
57,07/07/2011,08/09/2016,suii
81,27/09/2011,19/10/2016,book
86,27/09/2011,19/10/2016,coaa
39,14/10/2011,19/10/2013,coai
2,11/03/2012,20/10/2013,util
6,11/03/2012,20/10/2013,suii
32,16/06/2012,28/02/2017,coai
34,16/06/2012,28/02/2017,book
37,16/06/2012,28/02/2017,suii
40,16/06/2012,28/02/2017,coai
1,17/06/2012,04/05/2014,suii
11,05/09/2012,09/04/2017,util
13,05/09/2012,09/04/2017,util
15,05/09/2012,09/04/2017,suii
17,05/09/2012,09/04/2017,book
19,05/09/2012,09/04/2017,suii
82,30/09/2012,14/10/2015,suii
85,30/09/2012,14/10/2015,util
89,30/09/2012,14/10/2015,book
63,07/10/2012,18/10/2015,coaa
68,07/10/2012,18/10/2015,coaa
70,07/10/2012,18/10/2015,book
66,09/10/2012,26/04/2017,book
4,02/11/2012,04/02/2015,suii
9,02/11/2012,04/02/2015,coaa
73,27/12/2012,04/06/2017,coai
75,27/12/2012,,util
77,27/12/2012,,book
79,27/12/2012,15/07/2020,coaa
51,28/12/2012,05/06/2017,suii
55,28/12/2012,05/06/2017,util
59,28/12/2012,05/06/2017,suii
91,30/12/2012,22/06/2014,book
92,30/12/2012,14/12/2015,suii
93,30/12/2012,19/03/2015,coai
94,30/12/2012,08/10/2014,book
95,30/12/2012,06/04/2014,arad
96,30/12/2012,19/03/2015,arad
97,30/12/2012,06/04/2014,book
98,30/12/2012,22/06/2014,coaa
99,30/12/2012,19/03/2015,util
100,30/12/2012,14/12/2015,util
45,28/01/2013,23/02/2013,book
47,28/01/2013,,book
49,28/01/2013,20/06/2017,util
50,28/01/2013,,coaa
83,07/03/2013,08/05/2015,coai
88,07/03/2013,08/05/2015,coai
33,24/05/2013,19/03/2016,util
35,24/05/2013,19/03/2016,util
38,24/05/2013,19/03/2016,suii
5,27/05/2013,22/03/2016,arad
7,27/05/2013,22/03/2016,suii
39,19/10/2013,25/10/2015,arad
2,20/10/2013,31/05/2015,coai
6,20/10/2013,31/05/2015,coaa
21,08/11/2013,09/11/2015,util
22,08/11/2013,10/03/2015,arad
23,08/11/2013,09/11/2015,book
24,08/11/2013,16/06/2015,book
25,08/11/2013,09/11/2015,book
26,08/11/2013,10/07/2016,suii
27,08/11/2013,10/03/2015,coaa
28,08/11/2013,16/06/2015,arad
29,08/11/2013,10/03/2015,coaa
30,08/11/2013,31/12/2014,coaa
12,27/12/2013,11/08/2016,coai
18,27/12/2013,11/08/2016,suii
62,24/01/2014,29/08/2016,arad
69,24/01/2014,29/08/2016,book
56,06/02/2014,19/01/2017,arad
60,06/02/2014,05/01/2020,arad
74,01/04/2014,18/01/2018,arad
78,01/04/2014,18/01/2018,util
95,06/04/2014,12/07/2015,coaa
97,06/04/2014,12/07/2015,coai
84,09/04/2014,25/01/2018,coai
87,09/04/2014,25/01/2018,suii
90,09/04/2014,25/01/2018,suii
41,02/05/2014,05/02/2018,suii
44,02/05/2014,05/02/2018,coaa
46,02/05/2014,05/02/2018,arad
1,04/05/2014,20/03/2016,coai
3,05/05/2014,06/02/2018,coai
8,05/05/2014,06/02/2018,coai
10,05/05/2014,06/02/2018,suii
91,22/06/2014,13/12/2015,suii
98,22/06/2014,13/12/2015,book
14,06/07/2014,08/03/2018,coai
16,06/07/2014,08/03/2018,arad
61,04/08/2014,24/03/2018,book
65,04/08/2014,24/03/2018,util
94,08/10/2014,16/07/2016,util
31,22/10/2014,02/05/2018,coaa
36,22/10/2014,02/05/2018,coaa
30,31/12/2014,22/02/2016,util
4,04/02/2015,08/05/2017,suii
9,04/02/2015,08/05/2017,book
22,10/03/2015,09/07/2016,coai
27,10/03/2015,09/07/2016,util
29,10/03/2015,09/07/2016,book
71,17/03/2015,,book
93,19/03/2015,05/06/2017,arad
96,19/03/2015,05/06/2017,coaa
99,19/03/2015,05/06/2017,coai
42,10/04/2015,03/07/2018,book
83,08/05/2015,08/07/2017,coai
88,08/05/2015,08/07/2017,coai
2,31/05/2015,08/01/2017,coaa
6,31/05/2015,08/01/2017,arad
24,16/06/2015,21/01/2017,coai
28,16/06/2015,21/01/2017,arad
95,12/07/2015,16/10/2016,coai
97,12/07/2015,16/10/2016,coai
58,27/08/2015,02/09/2018,util
20,28/09/2015,04/04/2019,book
82,14/10/2015,27/10/2018,coai
85,14/10/2015,27/10/2018,coaa
89,14/10/2015,27/10/2018,coaa
63,18/10/2015,28/10/2018,arad
68,18/10/2015,28/10/2018,coaa
70,18/10/2015,28/10/2018,suii
64,20/10/2015,03/03/2020,suii
67,20/10/2015,18/11/2017,suii
39,25/10/2015,30/10/2017,coai
21,09/11/2015,09/11/2017,book
23,09/11/2015,09/11/2017,coaa
25,09/11/2015,09/11/2017,suii
91,13/12/2015,04/06/2017,coai
98,13/12/2015,04/06/2017,arad
92,14/12/2015,27/11/2018,arad
100,14/12/2015,27/11/2018,coai
30,22/02/2016,15/04/2017,coai
33,19/03/2016,13/01/2019,arad
35,19/03/2016,13/01/2019,book
38,19/03/2016,13/01/2019,arad
1,20/03/2016,04/02/2018,coai
5,22/03/2016,16/01/2019,util
7,22/03/2016,16/01/2019,suii
22,09/07/2016,08/11/2017,suii
27,09/07/2016,08/11/2017,coai
29,09/07/2016,08/11/2017,arad
26,10/07/2016,12/03/2019,coai
72,15/07/2016,,coaa
76,15/07/2016,,arad
80,15/07/2016,,util
94,16/07/2016,24/04/2018,arad
43,04/08/2016,,util
48,04/08/2016,04/02/2017,book
12,11/08/2016,27/03/2019,coaa
18,11/08/2016,27/03/2019,suii
62,29/08/2016,04/04/2019,coaa
69,29/08/2016,04/04/2019,arad
53,08/09/2016,20/05/2020,coaa
57,08/09/2016,,suii
95,16/10/2016,21/01/2018,coai
97,16/10/2016,21/01/2018,coai
81,19/10/2016,24/10/2017,coaa
86,19/10/2016,,suii
2,08/01/2017,19/08/2018,arad
6,08/01/2017,19/08/2018,book
24,21/01/2017,29/08/2018,util
28,21/01/2017,29/08/2018,coaa
32,28/02/2017,,book
34,28/02/2017,24/11/2019,util
37,28/02/2017,16/12/2018,coaa
40,28/02/2017,05/02/2017,book
13,09/04/2017,,util
15,09/04/2017,02/08/2020,arad
17,09/04/2017,,arad
19,09/04/2017,,coaa
30,15/04/2017,07/06/2018,arad
66,26/04/2017,,coai
4,08/05/2017,10/08/2019,util
9,08/05/2017,10/08/2019,coai
73,04/06/2017,,book
91,04/06/2017,25/11/2018,book
98,04/06/2017,25/11/2018,suii
51,05/06/2017,,util
55,05/06/2017,,coaa
59,05/06/2017,15/11/2019,util
93,05/06/2017,23/08/2019,util
96,05/06/2017,23/08/2019,util
99,05/06/2017,23/08/2019,coai
49,20/06/2017,,book
83,08/07/2017,08/09/2019,coaa
88,08/07/2017,08/09/2019,book
39,30/10/2017,05/11/2019,coaa
22,08/11/2017,10/03/2019,coai
27,08/11/2017,10/03/2019,arad
29,08/11/2017,10/03/2019,arad
21,09/11/2017,10/11/2019,arad
23,09/11/2017,10/11/2019,suii
25,09/11/2017,10/11/2019,util
74,18/01/2018,,coaa
78,18/01/2018,18/03/2019,arad
95,21/01/2018,28/04/2019,coai
97,21/01/2018,28/04/2019,coai
84,25/01/2018,,coai
87,25/01/2018,,coai
90,25/01/2018,21/04/2019,book
1,04/02/2018,22/12/2019,arad
41,05/02/2018,08/04/2018,coai
44,05/02/2018,22/07/2019,suii
46,05/02/2018,05/07/2018,arad
3,06/02/2018,,book
8,06/02/2018,26/04/2019,coaa
10,06/02/2018,04/09/2018,coaa
14,08/03/2018,05/11/2020,arad
16,08/03/2018,05/04/2019,book
61,24/03/2018,18/11/2018,util
65,24/03/2018,,coaa
94,24/04/2018,31/01/2020,suii
31,02/05/2018,06/07/2019,util
36,02/05/2018,04/09/2019,coai
30,07/06/2018,30/07/2019,arad
2,19/08/2018,29/03/2020,util
6,19/08/2018,29/03/2020,arad
24,29/08/2018,05/04/2020,suii
28,29/08/2018,05/04/2020,util
82,27/10/2018,,coai
85,27/10/2018,,coai
89,27/10/2018,,suii
63,28/10/2018,,coai
68,28/10/2018,,book
70,28/10/2018,27/11/2019,arad
91,25/11/2018,17/05/2020,coaa
98,25/11/2018,17/05/2020,arad
92,27/11/2018,26/04/2019,arad
100,27/11/2018,17/02/2018,suii
33,13/01/2019,28/11/2019,coaa
35,13/01/2019,01/02/2019,coaa
38,13/01/2019,,suii
5,16/01/2019,11/11/2019,suii
7,16/01/2019,28/06/2020,suii
22,10/03/2019,09/07/2020,arad
27,10/03/2019,09/07/2020,util
29,10/03/2019,09/07/2020,util
26,12/03/2019,17/04/2020,util
12,27/03/2019,,arad
18,27/03/2019,,coaa
62,04/04/2019,,book
69,04/04/2019,26/11/2019,suii
95,28/04/2019,02/08/2020,coai
97,28/04/2019,02/08/2020,suii
30,30/07/2019,20/09/2020,util
4,10/08/2019,16/10/2020,util
9,10/08/2019,14/11/2019,util
93,23/08/2019,03/01/2019,coai
96,23/08/2019,,coaa
99,23/08/2019,,suii
83,08/09/2019,02/02/2020,util
88,08/09/2019,05/02/2019,book
39,05/11/2019,17/02/2020,coai
23,10/11/2019,28/09/2019,arad
25,10/11/2019,07/07/2020,util
1,22/12/2019,,util
94,31/01/2020,25/07/2020,coaa
24,05/04/2020,,coai
28,05/04/2020,05/10/2020,util
91,17/05/2020,,book
22,09/07/2020,04/11/2020,coaa
29,09/07/2020,07/03/2020,arad
97,02/08/2020,01/08/2020,coai
30,20/09/2020,24/09/2020,coaa
2,29/03/2021,,util
6,29/03/2021,,coai
98,17/05/2021,,suii
27,09/07/2021,,suii
95,02/08/2021,,coai
11,12/11/2021,,coai
21,10/11/2021,,util
